,label
0,0
1,1
2,0
3,0
4,0
5,2
6,1
7,2
8,0
9,1
10,0
11,1
12,3
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,2
21,1
22,2
23,0
24,1
25,1
26,2
27,0
28,1
29,0
30,0
31,2
32,1
33,3
34,0
35,1
36,3
37,4
38,3
39,0
40,0
41,2
42,0
43,2
44,0
45,1
46,1
47,1
48,1
49,3
50,0
51,3
52,0
53,2
54,2
55,3
56,1
57,0
58,0
59,1
60,4
61,0
62,2
63,2
64,1
65,0
66,2
67,3
68,0
69,4
70,0
71,0
72,2
73,0
74,1
75,3
76,2
77,0
78,1
79,0
80,2
81,2
82,0
83,3
84,2
85,0
86,0
87,0
88,2
89,1
90,0
91,0
92,0
93,0
94,3
95,2
96,3
97,0
98,2
99,2
100,0
101,4
102,3
103,1
104,3
105,0
106,0
107,2
108,1
109,3
110,1
111,2
112,1
113,3
114,0
115,3
116,0
117,2
118,2
119,2
120,1
121,0
122,3
123,2
124,2
125,3
126,1
127,2
128,0
129,0
130,0
131,0
132,0
133,0
134,3
135,0
136,3
137,3
138,0
139,2
140,2
141,0
142,0
143,2
144,3
145,2
146,3
147,1
148,1
149,2
150,0
151,0
152,3
153,1
154,1
155,3
156,0
157,3
158,1
159,1
160,3
161,1
162,1
163,3
164,1
165,0
166,3
167,3
168,0
169,3
170,0
171,2
172,3
173,0
174,3
175,0
176,2
177,1
178,0
179,3
180,1
181,1
182,1
183,1
184,3
185,1
186,1
187,1
188,2
189,2
190,1
191,1
192,0
193,0
194,0
195,0
196,3
197,0
198,0
199,0
200,0
201,3
202,1
203,2
204,1
205,1
206,1
207,2
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,3
220,1
221,1
222,2
223,2
224,1
225,0
226,1
227,2
228,0
229,3
230,0
231,0
232,3
233,3
234,1
235,3
236,3
237,2
238,1
239,3
240,0
241,0
242,3
243,3
244,3
245,3
246,3
247,2
248,3
249,0
250,0
251,2
252,0
253,1
254,0
255,0
256,2
257,0
258,0
259,2
260,0
261,0
262,3
263,0
264,0
265,0
266,0
267,2
268,2
269,0
270,0
271,4
272,0
273,1
274,0
275,3
276,2
277,2
278,1
279,1
280,0
281,0
282,3
283,2
284,0
285,2
286,0
287,0
288,3
289,0
290,0
291,1
292,3
293,3
294,3
295,3
296,1
297,1
298,2
299,0
300,0
301,0
302,0
303,1
304,3
305,1
306,0
307,0
308,2
309,1
310,0
311,1
312,2
313,0
314,0
315,0
316,2
317,3
318,0
319,0
320,0
321,1
322,1
323,3
324,1
325,2
326,0
327,1
328,0
329,2
330,2
331,2
332,4
333,3
334,4
335,2
336,3
337,3
338,2
339,0
340,0
341,3
342,0
343,1
344,0
345,0
346,0
347,3
348,0
349,1
350,0
351,0
352,3
353,0
354,1
355,2
356,2
357,0
358,1
359,0
360,2
361,0
362,0
363,2
364,0
365,0
366,0
367,1
368,1
369,2
370,0
371,2
372,4
373,0
374,0
375,3
376,0
377,1
378,3
379,1
380,1
381,3
382,0
383,2
384,2
385,2
386,0
387,0
388,0
389,0
390,2
391,4
392,2
393,0
394,1
395,0
396,0
397,0
398,2
399,2
400,2
401,3
402,0
403,3
404,3
405,0
406,0
407,2
408,0
409,0
410,0
411,2
412,3
413,0
414,1
415,0
416,3
417,0
418,0
419,4
420,0
421,0
422,0
423,0
424,0
425,2
426,3
427,0
428,1
429,2
430,0
431,2
432,1
433,1
434,1
435,1
436,1
437,2
438,0
439,0
440,1
441,0
442,2
443,3
444,1
445,0
446,0
447,0
448,2
449,2
450,1
451,3
452,0
453,3
454,0
455,0
456,0
457,0
458,0
459,1
460,1
461,0
462,0
463,0
464,4
465,0
466,0
467,0
468,3
469,2
470,0
471,0
472,1
473,0
474,3
475,0
476,3
477,0
478,0
479,2
480,1
481,1
482,0
483,3
484,1
485,2
486,2
487,0
488,2
489,1
490,1
491,3
492,3
493,3
494,2
495,0
496,3
497,2
498,1
499,2
500,1
501,0
502,0
503,0
504,0
505,1
506,3
507,4
508,1
509,2
510,1
511,2
512,0
513,2
514,4
515,0
516,2
517,1
518,2
519,0
520,2
521,3
522,0
523,1
524,3
525,1
526,0
527,0
528,3
529,3
530,3
531,0
532,1
533,0
534,1
535,0
536,1
537,1
538,0
539,2
540,1
541,0
542,2
543,1
544,4
545,0
546,3
547,3
548,0
549,0
550,0
551,1
552,2
553,0
554,0
555,2
556,1
557,0
558,0
559,1
560,2
561,0
562,0
563,2
564,3
565,0
566,0
567,3
568,0
569,2
570,0
571,2
572,3
573,0
574,1
575,0
576,1
577,1
578,0
579,2
580,1
581,1
582,3
583,0
584,0
585,0
586,1
587,0
588,2
589,2
590,0
591,3
592,0
593,3
594,2
595,1
596,2
597,2
598,0
599,2
600,3
601,2
602,0
603,0
604,0
605,2
606,0
607,2
608,0
609,3
610,2
611,0
612,3
613,0
614,2
615,0
616,0
617,2
618,2
619,3
620,1
621,0
622,0
623,0
624,0
625,1
626,2
627,1
628,0
629,0
630,0
631,2
632,1
633,3
634,0
635,1
636,2
637,0
638,1
639,3
640,2
641,0
642,1
643,3
644,0
645,0
646,2
647,0
648,1
649,0
650,2
651,3
652,0
653,2
654,1
655,2
656,1
657,3
658,2
659,1
660,0
661,1
662,1
663,0
664,2
665,4
666,0
667,2
668,0
669,1
670,2
671,0
672,3
673,0
674,2
675,1
676,0
677,2
678,0
679,1
680,0
681,4
682,3
683,3
684,2
685,2
686,2
687,0
688,0
689,3
690,1
691,0
692,2
693,0
694,2
695,1
696,0
697,3
698,4
699,3
700,2
701,2
702,0
703,1
704,0
705,0
706,1
707,2
708,3
709,0
710,1
711,0
712,0
713,0
714,3
715,3
716,0
717,2
718,2
719,2
720,3
721,0
722,1
723,1
724,2
725,2
726,0
727,0
728,0
729,1
730,1
731,2
732,0
733,1
734,3
735,0
736,0
737,3
738,0
739,2
740,2
741,3
742,1
743,3
744,1
745,0
746,0
747,0
748,0
749,2
750,3
751,0
752,1
753,0
754,3
755,2
756,4
757,1
758,2
759,0
760,0
761,2
762,1
763,1
764,0
765,2
766,0
767,1
768,2
769,0
770,1
771,0
772,0
773,2
774,1
775,1
776,0
777,0
778,1
779,3
780,2
781,0
782,2
783,0
784,0
785,0
786,2
787,2
788,0
789,2
790,0
791,2
792,0
793,0
794,0
795,2
796,0
797,3
798,0
799,0
800,0
801,0
802,1
803,0
804,0
805,2
806,2
807,0
808,0
809,2
810,0
811,0
812,0
813,0
814,0
815,0
816,1
817,0
818,2
819,3
820,1
821,3
822,0
823,1
824,0
825,2
826,1
827,3
828,3
829,0
830,0
831,0
832,3
833,2
834,1
835,1
836,2
837,0
838,3
839,3
840,2
841,4
842,2
843,3
844,3
845,0
846,3
847,2
848,0
849,0
850,0
851,0
852,0
853,2
854,0
855,1
856,3
857,1
858,0
859,1
860,3
861,0
862,2
863,3
864,0
865,0
866,0
867,1
868,2
869,1
870,1
871,0
872,2
873,0
874,3
875,1
876,3
877,2
878,3
879,3
880,0
881,0
882,3
883,4
884,0
885,2
886,0
887,2
888,1
889,0
890,2
891,0
892,3
893,1
894,0
895,3
896,3
897,2
898,1
899,2
900,0
901,0
902,3
903,0
904,4
905,1
906,0
907,0
908,1
909,1
910,1
911,2
912,1
913,1
914,0
915,2
916,0
917,0
918,2
919,0
920,3
921,1
922,0
923,2
924,0
925,4
926,0
927,0
928,1
929,4
930,3
931,1
932,0
933,2
934,2
935,0
936,2
937,3
938,0
939,0
940,2
941,0
942,3
943,1
944,0
945,2
946,3
947,4
948,2
949,2
950,2
951,3
952,0
953,1
954,0
955,3
956,0
957,0
958,0
959,1
960,1
961,3
962,0
963,0
964,0
965,2
966,4
967,2
968,0
969,2
970,2
971,2
972,0
973,1
974,2
975,1
976,0
977,0
978,0
979,2
980,0
981,2
982,2
983,3
984,3
985,2
986,3
987,0
988,0
989,2
990,0
991,0
992,2
993,0
994,2
995,0
996,0
997,0
998,0
999,3
1000,0
1001,0
1002,0
1003,3
1004,2
1005,1
1006,0
1007,2
1008,0
1009,2
1010,0
1011,0
1012,3
1013,0
1014,2
1015,2
1016,2
1017,0
1018,4
1019,0
1020,2
1021,1
1022,0
1023,3
1024,0
1025,0
1026,1
1027,2
1028,3
1029,0
1030,0
1031,0
1032,2
1033,1
1034,3
1035,0
1036,1
1037,3
1038,1
1039,0
1040,0
1041,1
1042,0
1043,0
1044,0
1045,3
1046,3
1047,0
1048,0
1049,0
1050,3
1051,0
1052,1
1053,0
1054,0
1055,0
1056,1
1057,0
1058,0
1059,0
1060,0
